"","X.x","one","participant","three","_","tier_num","tier_name","tier_type","tier_xmin","tier_xmax","xmin","xmax","text","annotation_num","word","rate","gender","X.y","count","count_per_mil","log_freq","duration","X","prob","source","log_spanish","length","log_freq_z","duration_z","length_z","rate_z"
"48",4375,"arm","00610","00962289604","TextGrid",1,"ORT-MAU","IntervalTier",0,8.533333,5.306,5.666,"mejores",22,"mejores",11.953125466919,"m",59195,4632,111.3461538,3.6658623,0.36,43,0.00176535326585843,"spanish",-6.33940445799634,7,0.00813656855201971,0.0347896713286693,0.955651412448826,1.15858434959938
"49",4689,"arm","00610","01053605309","TextGrid",1,"ORT-MAU","IntervalTier",0,5.290667,1.966,2.196,"todo",5,"todo",8.69455590382082,"m",89015,120738,2902.355769,5.081847575,0.23,39,0.000112289292517902,"spanish",-9.09443204789035,4,1.44334795916014,-1.03432303365135,-1.34363634528995,-0.253118886916155
"50",4743,"arm","00610","01061689148","TextGrid",1,"ORT-MAU","IntervalTier",0,4.522667,1.166,1.646,"entiendo",4,"entiendo",3.97995253685491,"m",36930,13794,331.5865385,4.139721705,0.48,44,0.0069106382034555,"spanish",-4.97469328606721,8,0.488429992226774,1.02166293746407,1.72208066502842,-2.29561658511009
"51",4753,"arm","00610","01061689148","TextGrid",1,"ORT-MAU","IntervalTier",0,4.522667,1.646,2.016,"nada",5,"nada",3.97995253685491,"m",61990,87221,2096.658654,4.940626041,0.37,45,0.000475043110709071,"spanish",-7.6521049986605,4,1.30020893238181,0.117029110173284,-1.34363634528995,-2.29561658511009
"52",4868,"arm","00610","01069534957","TextGrid",1,"ORT-MAU","IntervalTier",0,5.802667,3.316,3.596,"sala",10,"sala",9.65073473973261,"m",81883,4030,96.875,3.605412798,0.28,46,0.00157884416412226,"spanish",-6.45106224134523,4,-0.053133711131495,-0.623125839428264,-1.34363634528995,0.161124458578342
"53",4997,"arm","00610","01100147988","TextGrid",1,"ORT-MAU","IntervalTier",0,4.608,1.426,1.556,"llegó",4,"llegó",6.51041666666667,"m",56374,5614,134.9519231,3.749349761,0.13,47,0.00310168067777217,"spanish",-5.77581116028343,5,0.0927576144877913,-1.85671742209751,-0.577207092710356,-1.19934893368536
"54",5119,"arm","00610","01117239594","TextGrid",1,"ORT-MAU","IntervalTier",0,5.546667,1.886,2.356,"medios",7,"medios",11.5384608450444,"m",59088,1071,25.74519231,3.030194785,0.47,48,0.000864888912431098,"spanish",-7.05290948421473,6,-0.636161980504262,0.939423498619449,0.189222159869235,0.978940067826772
"55",5404,"arm","00610","01139917007","TextGrid",1,"ORT-MAU","IntervalTier",0,8.106667,5.116,5.356,"llegues",21,"llegues",10.9786179696292,"m",56380,593,14.25480769,2.773786445,0.24,49,0.00339664759531481,"spanish",-5.68496633515714,7,-0.89605180895952,-0.952083594806731,0.955651412448826,0.736400516695517
"56",5446,"arm","00610","01152424470","TextGrid",1,"ORT-MAU","IntervalTier",0,3.925333,0.606,0.836,"Cómo",2,"cómo",8.40693006172979,"m",19583,96683,2324.110577,4.98535461,0.23,50,0.000440345005752383,"spanish",-7.72795203431821,4,1.34554482170764,-1.03432303365135,-1.34363634528995,-0.377726425384463
"57",5562,"arm","00610","01181265409","TextGrid",1,"ORT-MAU","IntervalTier",0,5.973333,0.926,1.286,"mandar",5,"mandar",11.2165184830646,"m",57688,669,16.08173077,2.826074803,0.36,51,0.00286863755224225,"spanish",-5.85391808239913,6,-0.843053484525817,0.0347896713286666,0.189222159869235,0.839465655641377
"58",5759,"arm","00610","01200618779","TextGrid",1,"ORT-MAU","IntervalTier",0,6.741333,3.896,4.426,"desayuno",13,"desayuno",11.570411964518,"m",27772,1775,42.66826923,3.249442961,0.53,52,0.000322939555383207,"spanish",-8.03804538729007,8,-0.413936873279715,1.43286013168715,1.72208066502842,0.992782184098272
"59",5829,"arm","00610","01234888164","TextGrid",1,"ORT-MAU","IntervalTier",0,6.314667,2.656,3.036,"huyeron",8,"huyeron",5.54265173444617,"m",48685,130,3.125,2.117271296,0.38,53,0.00241215969553625,"spanish",-6.02723279354595,7,-1.5614810592401,0.199268549017899,0.955651412448826,-1.61861169930911
"60",6248,"arm","00610","01280596409","TextGrid",1,"ORT-MAU","IntervalTier",0,4.608,2.326,2.496,"lleva",9,"lleva",9.765625,"m",56449,5886,141.4903846,3.769894036,0.17,54,0.0017891252393345,"spanish",-6.32602847168809,5,0.113580837731964,-1.52775966671905,-0.577207092710356,0.210898124330434
"61",6334,"arm","00610","01297209155","TextGrid",1,"ORT-MAU","IntervalTier",0,7.168,3.256,3.716,"lagunas",12,"lagunas",10.1841517857143,"m",54661,41,0.9855769231,1.62324929,0.46,55,0.00196360395324562,"spanish",-6.23297374251818,7,-2.06221084982516,0.857184059774836,0.955651412448826,0.392215603218185
"62",6657,"arm","00610","01360932885","TextGrid",1,"ORT-MAU","IntervalTier",0,4.522667,1.896,2.476,"película",10,"película",9.06544744505841,"m",67005,6385,153.4855769,3.805228914,0.58,21,0.000983964945007195,"spanish",-6.92392028653929,8,0.149395489400109,1.84405732591023,1.72208066502842,-0.0924383247790912
"63",6670,"arm","00610","01360932885","TextGrid",1,"ORT-MAU","IntervalTier",0,4.522667,2.556,2.796,"tres",12,"tres",9.06544744505841,"m",90741,24142,580.3365385,4.382791234,0.24,56,0.001723985042309,"spanish",-6.36311678293315,4,0.734799896554028,-0.952083594806734,-1.34363634528995,-0.0924383247790912
"64",6676,"arm","00610","01360932885","TextGrid",1,"ORT-MAU","IntervalTier",0,4.522667,2.796,3.156,"veces",13,"veces",9.06544744505841,"m",92141,20358,489.375,4.308756442,0.36,57,0.00233700267479638,"spanish",-6.05888607888333,5,0.659759867073705,0.0347896713286693,-0.577207092710356,-0.0924383247790912
"65",6785,"arm","00610","01404558758","TextGrid",1,"ORT-MAU","IntervalTier",0,5.034667,1.036,1.386,"pasar",4,"pasar",9.73252054207359,"m",66152,12927,310.7451923,4.111531343,0.35,58,0.00108311487058211,"spanish",-6.8279142495685,5,0.459856864128555,-0.047449767515951,-0.577207092710356,0.196556349667391
"66",7041,"arm","00610","01531204415","TextGrid",1,"ORT-MAU","IntervalTier",0,4.096,0.476,0.746,"Cuáles",2,"cuáles",8.30078125,"m",24460,1514,36.39423077,3.180412633,0.27,59,0.00116690474190549,"spanish",-6.75340055548278,6,-0.48390448861598,-0.705365278272882,0.189222159869235,-0.423713051776673
"67",7242,"arm","00610","01573868409","TextGrid",1,"ORT-MAU","IntervalTier",0,7.082667,1.186,1.616,"escuchar",4,"escuchar",10.5892314293472,"m",38649,3686,88.60576923,3.566673138,0.43,60,0.00360081826944743,"spanish",-5.62659416227941,8,-0.0923993746111424,0.610465743240984,1.72208066502842,0.567707405031807
"68",7539,"arm","00610","01631666883","TextGrid",1,"ORT-MAU","IntervalTier",0,4.522667,1.806,2.186,"pasando",7,"pasando",8.18101354797954,"m",66133,7679,184.5913462,3.88536122,0.38,61,0.00349236890162441,"spanish",-5.65717500465311,7,0.230615824355143,0.199268549017899,0.955651412448826,-0.475599761358395
"69",7630,"arm","00610","01674733803","TextGrid",1,"ORT-MAU","IntervalTier",0,4.864,1.336,1.676,"pizza",6,"pizza",8.42927631578947,"m",68965,1554,37.35576923,3.191730393,0.34,29,1.18897779766063e-05,"spanish",-11.3398315205557,5,-0.4724330571294,-0.129689206360568,-0.577207092710356,-0.368045404749735
"70",7636,"arm","00610","01674733803","TextGrid",1,"ORT-MAU","IntervalTier",0,4.864,1.676,1.936,"aunque",7,"aunque",8.42927631578947,"m",11094,10272,246.9230769,4.011697288,0.26,62,0.000443128150900733,"spanish",-7.72165155006681,6,0.358667271668564,-0.787604717117499,0.189222159869235,-0.368045404749735
"71",7650,"arm","00610","01674733803","TextGrid",1,"ORT-MAU","IntervalTier",0,4.864,2.196,2.686,"diabetes",9,"diabetes",8.42927631578947,"m",30952,180,4.326923077,2.257678575,0.49,63,0.00203347178079682,"spanish",-6.19801070987246,8,-1.41916734333999,1.10390237630868,1.72208066502842,-0.368045404749735
"72",7670,"arm","00610","01683821098","TextGrid",1,"ORT-MAU","IntervalTier",0,5.461333,0.666,0.956,"acabo",3,"acabo",9.70459043607119,"m",814,5792,139.2307692,3.762903528,0.29,64,0.013444567247634,"spanish",-4.30918017664179,5,0.106495413268254,-0.54088640058365,-0.577207092710356,0.184456248602701
"73",7681,"arm","00610","01683821098","TextGrid",1,"ORT-MAU","IntervalTier",0,5.461333,1.016,1.366,"enterar",5,"enterar",9.70459043607119,"m",36841,281,6.754807692,2.450249108,0.35,65,0.010198239955563,"spanish",-4.58554012695713,7,-1.22398210565658,-0.0474497675159492,0.955651412448826,0.184456248602701
"74",7737,"arm","00610","01683821098","TextGrid",1,"ORT-MAU","IntervalTier",0,5.461333,3.126,3.496,"pizza",14,"pizza",9.70459043607119,"m",68965,1554,37.35576923,3.191730393,0.37,29,1.18897779766063e-05,"spanish",-11.3398315205557,5,-0.4724330571294,0.117029110173284,-0.577207092710356,0.184456248602701
"75",7798,"arm","00610","01689731203","TextGrid",1,"ORT-MAU","IntervalTier",0,5.205333,2.406,2.656,"hacer",12,"hacer",9.60553340199369,"m",47083,76037,1827.8125,4.881030685,0.25,66,0.00240490663125678,"spanish",-6.03024419894029,5,1.23980439621278,-0.869844155962116,-0.577207092710356,0.14154197812327
"76",7831,"arm","00610","01700484250","TextGrid",1,"ORT-MAU","IntervalTier",0,5.12,1.166,1.526,"Dame",2,"dame",6.640625,"m",25276,10232,245.9615385,4.010002974,0.36,67,0.000227197755736179,"spanish",-8.38968974908781,4,0.356949952431563,0.0347896713286675,-1.34363634528995,-1.14293905136473
"77",8041,"arm","00610","01733025750","TextGrid",1,"ORT-MAU","IntervalTier",0,5.205333,1.856,2.096,"tenga",7,"tenga",8.26075872571457,"m",88128,7054,169.5673077,3.848497018,0.24,68,0.00109789790246272,"spanish",-6.8143579252248,5,0.193251083668784,-0.952083594806732,-0.577207092710356,-0.441051925774362
"78",8054,"arm","00610","01733025750","TextGrid",1,"ORT-MAU","IntervalTier",0,5.205333,2.366,2.906,"memoria",9,"memoria",8.26075872571457,"m",59264,2417,58.10096154,3.383456297,0.54,69,0.00230056609984152,"spanish",-6.07460005596626,7,-0.278103916739547,1.51509957053177,0.955651412448826,-0.441051925774362
"79",8112,"arm","00610","01738209033","TextGrid",1,"ORT-MAU","IntervalTier",0,4.693333,2.316,2.746,"millones",7,"millones",10.6534098475433,"m",60117,5746,138.125,3.759441197,0.43,70,0.00116077326099436,"spanish",-6.75866889164034,8,0.102986071061814,0.610465743240984,1.72208066502842,0.595511286129788
"80",8139,"arm","00610","01766945480","TextGrid",1,"ORT-MAU","IntervalTier",0,4.181333,0.776,1.046,"Quiero",2,"quiero",7.1747454699255,"m",73716,82097,1973.485577,4.914332577,0.27,11,0.00232463730339408,"spanish",-6.06419125065204,6,1.27355845818719,-0.705365278272882,0.189222159869235,-0.911543163849557
"81",8285,"arm","00610","01808861758","TextGrid",1,"ORT-MAU","IntervalTier",0,5.717333,2.996,3.366,"hacer",11,"hacer",7.17117579122993,"m",47083,76037,1827.8125,4.881030685,0.37,66,0.00240490663125678,"spanish",-6.03024419894029,5,1.23980439621278,0.117029110173284,-0.577207092710356,-0.913089648241029
"82",8351,"arm","00610","01847362465","TextGrid",1,"ORT-MAU","IntervalTier",0,3.413333,0.516,0.776,"Cómo",2,"cómo",6.44531312942511,"m",19583,96683,2324.110577,4.98535461,0.26,50,0.000440345005752383,"spanish",-7.72795203431821,4,1.34554482170764,-0.787604717117499,-1.34363634528995,-1.22755360216116
